filename,sha256,tags,Report_link
"f14c5bad5219b1ed5166eb02f5ff08a890a181cef2af565f3fe7bcea9c870e22","f14c5bad5219b1ed5166eb02f5ff08a890a181cef2af565f3fe7bcea9c870e22","exe,Lazarus","https://bazaar.abuse.ch/sample/f14c5bad5219b1ed5166eb02f5ff08a890a181cef2af565f3fe7bcea9c870e22/"
"3fe624c33790b409421f4fa2bb8abfd701df2231a959493c33187ed34bec0ae7","3fe624c33790b409421f4fa2bb8abfd701df2231a959493c33187ed34bec0ae7","apt,DTRACK,exe,Lazarus","https://bazaar.abuse.ch/sample/3fe624c33790b409421f4fa2bb8abfd701df2231a959493c33187ed34bec0ae7/"
"ba8f9e7afe5f78494c111971c39a89111ef9262bf23e8a764c6f65c818837a44","ba8f9e7afe5f78494c111971c39a89111ef9262bf23e8a764c6f65c818837a44","apt,DTRACK,exe,Lazarus","https://bazaar.abuse.ch/sample/ba8f9e7afe5f78494c111971c39a89111ef9262bf23e8a764c6f65c818837a44/"
"Amazon_Assessment.iso","dc20873b80f5cd3cf221ad5738f411323198fb83a608a8232504fd2567b14031","apt,iso,Lazarus","https://bazaar.abuse.ch/sample/dc20873b80f5cd3cf221ad5738f411323198fb83a608a8232504fd2567b14031/"
"New Profit Distribution.docx","a9ecb2c9292cb2d021b122ff5ee1d3f45c672fd75af71e823e524130eb9dd81b","apt,docx,Lazarus","https://bazaar.abuse.ch/sample/a9ecb2c9292cb2d021b122ff5ee1d3f45c672fd75af71e823e524130eb9dd81b/"
"[HR202209] Password txt lnk 2","178a81904017a5b53f378821225ee5d6e436834b1e9e4c9f0ce50805ac36ca37","apt,Lazarus,lnk,North Korean,NorthKorean","https://bazaar.abuse.ch/sample/178a81904017a5b53f378821225ee5d6e436834b1e9e4c9f0ce50805ac36ca37/"
"Matrixport Pay Raise.pdf","904bdc9355f61cb0258e542d93149ca0a55c42ec099cdd522fe00e76370e3ca8","apt,fake pdf,Lazarus,North Korean,pdf","https://bazaar.abuse.ch/sample/904bdc9355f61cb0258e542d93149ca0a55c42ec099cdd522fe00e76370e3ca8/"
"Matrixport Salary Increase.pdf.lnk 2","0b79e1194644431c2e28c48aa3654e658a2907e1003cd0484cd00a0796ebe6bb","apt,Lazarus,lnk,North Korean","https://bazaar.abuse.ch/sample/0b79e1194644431c2e28c48aa3654e658a2907e1003cd0484cd00a0796ebe6bb/"
"Increase.zip","4121072c1ec6d79c4a45797de4a47d4828682d2f8d947c03b13eba81db24248c","apt,Lazarus,North Korean,zip","https://bazaar.abuse.ch/sample/4121072c1ec6d79c4a45797de4a47d4828682d2f8d947c03b13eba81db24248c/"
"c43dfda63e6e534776eb24d284d0bdf21115181b49d6e31091de795d957cb5fc.docx","c43dfda63e6e534776eb24d284d0bdf21115181b49d6e31091de795d957cb5fc","apt,BlueNoroff,docx,Lazarus","https://bazaar.abuse.ch/sample/c43dfda63e6e534776eb24d284d0bdf21115181b49d6e31091de795d957cb5fc/"
"MUFG_JOB_DESCRIPTION.docx","c08ba7c0297cd515c5a24918f6e1ec705b72cdeea40078494d8b51de447b6b8c","apt,BlueNoroff,docx,Lazarus","https://bazaar.abuse.ch/sample/c08ba7c0297cd515c5a24918f6e1ec705b72cdeea40078494d8b51de447b6b8c/"
